student_id,age_band,first_generation,financial_aid,online_student,credits_attempted,attendance_rate,prior_gpa,advising_contacts,persisted_next_term
S0125,18-20,0,0,0,13,92.2,3.25,1,1
S0126,21-24,0,1,0,8,89.8,3.55,1,1
S0127,18-20,0,0,0,6,81.0,3.05,1,0
S0128,21-24,0,1,1,16,72.3,3.78,2,1
S0129,18-20,0,0,1,10,70.7,3.17,4,0
S0130,18-20,0,0,1,12,81.7,3.34,1,1
S0131,25+,0,0,1,9,79.0,2.54,0,1
S0132,18-20,1,0,0,9,88.3,4.0,6,1
S0133,18-20,0,1,0,12,83.3,3.26,0,0
S0134,25+,0,1,1,11,85.2,3.39,2,1
S0135,21-24,0,1,1,14,77.9,2.12,0,0
S0136,21-24,0,1,0,14,89.8,2.55,2,0
S0137,18-20,1,0,0,14,90.7,3.68,0,1
S0138,18-20,0,0,0,14,74.0,3.16,2,1
S0139,21-24,1,0,0,18,63.9,1.95,4,0
S0140,18-20,0,0,1,10,92.4,3.57,1,1
S0141,18-20,0,0,0,13,84.6,2.7,0,0
S0142,21-24,0,0,1,16,59.9,3.78,4,1
S0143,18-20,1,1,1,17,69.9,2.95,3,0
S0144,18-20,0,1,1,9,84.7,3.11,3,0
S0145,18-20,0,0,0,12,79.2,3.65,1,0
S0146,18-20,0,0,0,17,76.9,2.51,3,0
S0147,21-24,0,1,1,15,91.0,2.45,2,0
S0148,25+,0,1,1,14,66.5,2.89,6,0
S0149,18-20,0,0,0,12,74.0,3.45,5,0
S0150,18-20,0,1,1,12,79.1,2.27,2,0
S0151,18-20,1,1,0,14,85.9,2.08,2,0
S0152,18-20,1,0,1,12,82.0,3.45,5,1
S0153,18-20,0,0,0,13,91.1,2.67,1,0
S0154,25+,0,1,0,13,84.0,2.78,4,1
S0155,18-20,0,0,0,11,86.9,1.98,7,1
S0156,18-20,1,1,0,15,79.4,2.63,1,0
S0157,25+,0,0,0,21,82.6,3.0,4,1
S0158,18-20,1,1,0,8,83.1,3.51,2,0
S0159,25+,1,0,0,14,84.2,2.58,0,0
S0160,18-20,1,1,1,11,84.7,3.91,2,0
S0161,18-20,0,1,0,15,87.6,2.62,0,1
S0162,25+,1,0,1,13,77.4,2.62,0,0
S0163,18-20,0,1,1,15,68.9,3.85,1,1
S0164,18-20,0,1,0,17,82.7,3.12,3,1
S0165,18-20,0,1,0,14,81.7,2.7,1,0
S0166,21-24,0,0,1,16,78.9,2.91,3,0
S0167,18-20,1,0,1,6,99.1,3.74,2,0
S0168,18-20,1,0,0,18,76.8,3.81,2,0
S0169,21-24,0,1,1,14,81.2,2.55,3,0
S0170,21-24,1,1,0,16,92.7,2.98,3,0
S0171,18-20,0,1,0,9,83.0,3.05,4,1
S0172,18-20,0,0,1,11,100.0,2.46,4,1
S0173,18-20,0,0,0,13,78.2,2.97,3,0
S0174,18-20,1,0,1,13,80.2,3.0,2,0
S0175,18-20,0,0,0,14,74.0,3.63,2,0
S0176,18-20,0,1,1,16,73.5,3.66,1,1
S0177,18-20,0,0,0,8,84.5,2.82,6,0
S0178,18-20,1,1,0,16,90.5,2.88,2,0
S0179,21-24,1,1,0,13,85.2,3.37,3,0
S0180,18-20,1,1,0,12,94.6,2.68,0,1
S0181,25+,1,1,1,9,76.1,3.32,5,0
S0182,25+,1,1,0,15,78.7,2.95,1,1
S0183,21-24,0,1,0,6,100.0,2.47,2,0
S0184,25+,0,1,0,15,85.9,2.47,1,0
S0185,25+,1,0,0,9,74.8,3.8,1,0
S0186,18-20,1,1,1,13,70.1,2.91,4,1
S0187,21-24,0,1,0,13,72.6,3.9,2,1
S0188,18-20,0,0,1,17,86.4,2.72,3,1
S0189,21-24,1,0,0,12,78.4,3.16,5,1
S0190,18-20,0,0,1,11,78.3,4.0,2,1
S0191,18-20,1,1,0,11,81.4,2.42,4,0
S0192,18-20,0,0,0,17,89.3,1.96,3,1
S0193,25+,0,1,1,15,68.5,3.71,1,1
S0194,18-20,1,1,1,12,66.2,2.55,2,0
S0195,18-20,0,0,1,12,79.2,2.99,2,0
S0196,18-20,0,0,0,8,88.0,2.68,2,1
S0197,18-20,0,0,0,14,85.3,3.15,1,1
S0198,21-24,1,0,1,8,68.9,2.48,1,0
S0199,21-24,0,0,0,15,88.8,2.9,0,1
S0200,18-20,0,1,1,13,69.6,3.25,1,0
S0201,18-20,1,1,0,20,76.8,2.45,1,0
S0202,18-20,1,1,0,10,72.6,2.61,4,0
S0203,18-20,0,1,1,13,90.0,2.81,1,0
S0204,21-24,0,0,1,18,83.3,2.21,1,0
S0205,21-24,0,1,0,17,88.0,2.77,3,0
S0206,18-20,0,0,0,11,94.5,3.07,3,0
S0207,21-24,0,0,0,14,100.0,2.78,2,1
S0208,18-20,1,0,0,13,64.9,2.85,2,0
S0209,18-20,0,1,0,14,74.6,2.99,1,0
S0210,18-20,0,1,0,11,75.8,2.64,0,0
S0211,21-24,1,0,1,13,68.5,3.38,3,0
S0212,18-20,0,0,1,8,66.2,3.79,0,0
S0213,25+,0,0,0,13,79.0,2.74,1,1
S0214,18-20,1,0,0,14,69.8,3.27,3,0
S0215,18-20,1,0,0,12,85.4,2.87,0,0
S0216,18-20,1,1,0,8,82.5,3.2,0,0
S0217,18-20,0,0,0,16,86.8,3.86,2,0
S0218,18-20,0,1,0,14,87.1,3.28,2,1
S0219,18-20,1,0,1,11,83.0,2.02,1,0
S0220,21-24,0,0,0,12,78.3,3.25,6,1
S0221,18-20,0,1,0,8,100.0,3.68,7,1
S0222,21-24,0,1,0,10,84.3,2.88,5,1
S0223,21-24,1,1,1,11,58.4,3.55,6,0
S0224,18-20,1,0,0,17,72.0,2.62,4,0
S0225,18-20,0,1,0,11,64.6,2.18,1,0
S0226,18-20,1,1,1,15,77.2,3.08,2,0
S0227,18-20,0,1,0,11,80.8,2.03,3,1
S0228,21-24,0,1,0,14,77.3,2.87,1,0
S0229,25+,1,1,1,13,97.1,3.71,3,1
S0230,21-24,0,1,0,16,87.5,1.95,1,1
S0231,18-20,0,1,0,11,89.3,2.3,2,1
S0232,21-24,0,1,0,8,72.7,2.43,2,0
S0233,21-24,1,1,0,9,72.0,2.97,1,0
S0234,18-20,0,1,1,11,77.4,2.8,3,0
S0235,21-24,1,1,0,9,83.7,3.77,7,0
S0236,18-20,1,0,0,14,63.4,3.52,0,1
S0237,18-20,0,1,0,12,80.2,3.27,2,1
S0238,18-20,1,1,0,20,82.1,3.08,3,0
S0239,18-20,0,1,0,8,79.8,3.22,3,0
S0240,25+,0,1,0,14,73.9,2.53,2,0
S0241,18-20,1,1,1,10,71.6,3.47,0,0
S0242,18-20,1,1,0,12,80.2,2.39,1,1
S0243,18-20,0,0,0,13,82.9,3.46,4,1
S0244,18-20,0,1,0,6,88.0,3.65,0,1
S0245,18-20,0,1,0,14,92.8,3.12,1,1
S0246,18-20,1,1,0,19,79.1,2.9,1,1
S0247,21-24,0,1,0,12,77.4,3.22,1,1
S0248,18-20,0,1,0,14,86.4,1.43,4,0
S0249,21-24,0,0,1,16,83.1,3.17,1,1
S0250,18-20,0,0,1,13,72.7,2.94,2,1
S0251,21-24,1,1,0,11,89.9,2.97,4,1
S0252,21-24,1,1,0,6,91.8,3.39,1,1
S0253,18-20,0,1,0,15,94.9,2.96,2,0
S0254,18-20,0,1,0,13,99.8,2.37,3,0
S0255,25+,0,0,0,10,73.3,2.92,3,1
S0256,18-20,1,1,1,13,77.1,3.04,2,0
S0257,21-24,1,1,1,11,77.1,3.06,3,0
S0258,18-20,0,0,1,11,76.0,3.09,5,0
S0259,18-20,0,1,0,15,75.5,3.57,1,0
S0260,18-20,0,1,1,9,62.1,2.4,2,0
S0261,25+,0,0,0,16,82.9,3.1,2,1
S0262,18-20,1,1,0,9,74.3,3.71,3,0
S0263,21-24,0,1,0,11,82.9,2.05,1,1
S0264,21-24,0,1,1,19,69.1,3.1,3,1
S0265,18-20,1,0,0,16,71.0,2.68,2,1
S0266,18-20,0,1,1,13,79.3,2.8,2,0
S0267,18-20,0,1,0,10,83.5,2.5,1,1
S0268,18-20,0,1,1,11,82.8,2.91,2,1
S0269,21-24,0,1,0,13,100.0,4.0,1,1
S0270,18-20,0,0,0,13,84.8,2.3,4,0
S0271,18-20,0,1,1,13,81.9,2.36,1,1
S0272,21-24,0,0,0,13,71.2,2.28,4,0
S0273,21-24,0,0,0,12,69.1,3.95,4,1
S0274,18-20,0,0,0,9,97.8,2.75,2,0
S0275,18-20,1,1,0,11,72.8,2.99,1,0
S0276,18-20,0,0,0,16,71.6,2.78,4,0
S0277,21-24,0,0,0,9,81.6,2.48,5,1
S0278,18-20,0,1,0,12,81.1,2.87,3,0
S0279,18-20,1,0,1,11,68.0,4.0,3,1
S0280,18-20,1,0,0,13,79.0,3.77,2,1
S0281,21-24,0,1,0,12,94.3,2.53,2,1
S0282,21-24,0,0,0,17,73.9,3.36,2,0
S0283,18-20,0,1,0,15,68.1,2.54,4,0
S0284,25+,0,0,0,9,91.4,2.02,2,0
S0285,21-24,0,0,1,15,81.9,3.56,2,0
S0286,18-20,0,1,1,11,70.8,3.64,0,0
S0287,21-24,0,0,0,11,66.2,3.58,1,0
S0288,18-20,0,1,0,14,74.6,2.74,1,0
S0289,25+,0,0,0,12,81.5,2.91,2,1
S0290,18-20,0,0,0,16,93.7,3.41,2,1
S0291,18-20,1,1,0,11,71.6,3.22,3,0
S0292,18-20,0,1,1,11,76.2,2.78,3,1
S0293,18-20,1,1,0,11,88.8,2.11,2,0
S0294,21-24,0,1,0,11,58.2,3.06,2,0
S0295,18-20,1,1,0,16,92.3,3.59,0,1
S0296,18-20,1,1,0,15,70.2,2.34,1,0
S0297,18-20,1,1,0,18,85.3,3.35,1,1
S0298,25+,1,1,0,20,84.5,3.18,2,0
S0299,21-24,1,0,1,10,87.8,3.41,1,0
S0300,18-20,1,0,0,13,87.5,3.48,1,0
S0301,18-20,1,0,0,9,58.2,2.62,1,0
S0302,18-20,0,1,0,11,74.2,2.11,1,0
S0303,25+,0,0,1,11,78.4,2.71,2,0
S0304,21-24,0,0,0,10,80.1,3.49,1,1
S0305,18-20,1,1,1,10,81.8,2.7,1,0
S0306,25+,0,1,1,13,84.9,2.62,4,0
S0307,18-20,0,0,0,9,88.1,2.0,1,0
S0308,21-24,1,1,1,16,74.9,3.96,0,0
S0309,18-20,0,1,0,10,63.5,3.45,0,1
S0310,18-20,0,0,1,21,72.4,3.42,2,1
S0311,18-20,0,1,0,12,86.2,3.53,3,0
S0312,18-20,0,1,1,13,66.1,3.32,1,0
S0313,25+,0,0,0,9,88.3,2.87,1,0
S0314,18-20,0,0,0,18,91.1,2.91,1,0
S0315,21-24,0,1,0,16,83.3,2.76,1,0
S0316,21-24,0,0,1,14,46.4,4.0,1,0
S0317,21-24,0,0,0,9,69.2,3.31,2,1
S0318,25+,1,0,0,14,100.0,2.74,1,1
S0319,18-20,0,0,1,10,71.5,3.26,2,0
S0320,18-20,1,1,1,17,57.2,2.44,5,0
S0321,18-20,1,1,0,15,94.4,3.83,3,1
S0322,18-20,0,0,0,13,82.1,2.64,2,1
S0323,25+,0,1,0,6,93.0,3.28,2,1
S0324,18-20,0,0,1,10,79.8,3.59,3,0
S0325,18-20,1,0,0,15,86.6,3.21,2,0
S0326,18-20,1,1,1,17,80.6,3.05,1,1
S0327,18-20,1,0,0,16,89.0,3.01,1,0
S0328,21-24,0,1,0,8,100.0,2.97,5,0
S0329,18-20,1,0,0,14,91.7,2.68,3,1
S0330,21-24,0,1,0,16,66.2,2.75,3,0
S0331,21-24,1,0,1,8,81.5,3.81,1,0
S0332,21-24,0,0,0,13,93.4,2.94,4,0
S0333,18-20,1,1,0,14,94.0,2.57,2,0
S0334,21-24,1,0,1,12,72.7,2.72,1,0
S0335,18-20,0,0,1,7,88.6,3.61,3,1
S0336,18-20,0,0,1,12,86.3,3.37,2,0
S0337,21-24,0,0,0,12,100.0,3.31,4,1
S0338,21-24,1,0,0,13,74.5,2.86,1,1
S0339,18-20,0,1,1,11,71.9,3.32,1,0
S0340,25+,1,1,0,12,78.9,2.65,3,0
S0341,18-20,0,1,0,13,77.1,2.86,3,1
S0342,21-24,1,0,1,14,68.1,3.53,3,1
S0343,25+,1,0,0,12,54.4,3.48,2,1
S0344,18-20,0,1,0,12,77.7,2.46,4,1
S0345,21-24,1,1,1,13,80.7,2.53,4,0
S0346,21-24,1,0,0,7,77.1,3.06,3,1
S0347,21-24,1,1,0,14,100.0,3.95,5,1
S0348,21-24,0,0,0,13,82.1,1.95,5,0
S0349,21-24,0,1,0,13,94.9,3.15,3,1
S0350,18-20,0,0,0,16,84.6,2.24,4,0
S0351,21-24,0,1,1,7,85.3,2.65,1,0
S0352,18-20,0,1,1,7,79.8,2.8,2,1
S0353,25+,0,0,0,14,95.7,2.77,0,1
S0354,18-20,0,0,0,13,82.6,2.71,3,1
S0355,18-20,0,1,1,14,82.0,3.0,3,0
S0356,25+,0,1,0,12,85.7,2.71,0,0
S0357,18-20,1,0,0,15,79.1,2.2,1,0
S0358,18-20,1,0,0,16,86.0,3.43,1,1
S0359,21-24,0,1,1,14,99.3,3.41,3,1
S0360,18-20,0,1,0,12,79.3,3.46,2,0
S0361,18-20,1,0,1,7,81.2,2.15,2,0
S0362,18-20,0,0,0,15,94.6,3.16,5,1
S0363,18-20,0,0,0,17,93.4,3.37,5,1
S0364,18-20,0,0,0,15,82.1,2.43,4,0
S0365,18-20,1,1,0,10,58.2,3.01,1,0
S0366,18-20,0,0,0,15,87.2,2.94,1,0
S0367,18-20,1,0,0,16,59.8,4.0,3,1
S0368,18-20,1,0,0,18,96.7,4.0,1,1
S0369,21-24,0,1,0,10,83.7,2.08,2,0
S0370,21-24,1,1,0,12,92.0,4.0,2,1
S0371,18-20,1,0,0,15,73.0,2.5,3,0
S0372,18-20,0,1,1,13,61.5,3.54,0,1
S0373,25+,0,0,0,10,84.6,3.53,1,1
S0374,21-24,0,1,1,14,76.7,2.45,3,0
S0375,18-20,0,0,1,15,72.1,3.27,1,0
S0376,18-20,0,0,0,13,82.8,2.94,1,1
S0377,18-20,1,1,1,14,100.0,3.3,3,1
S0378,21-24,0,1,1,12,85.3,3.13,1,0
S0379,25+,0,0,0,17,92.5,3.66,3,0
S0380,25+,1,0,0,10,90.4,3.04,3,0
S0381,18-20,0,1,0,11,96.8,2.91,2,1
S0382,18-20,1,0,0,13,80.1,3.6,1,1
S0383,18-20,1,0,0,16,61.5,3.32,5,0
S0384,18-20,0,1,1,9,75.1,3.4,2,1
S0385,18-20,0,1,1,9,85.1,2.63,1,1
S0386,21-24,1,1,0,7,72.3,2.43,2,1
S0387,18-20,1,1,1,13,75.2,2.69,1,0
S0388,25+,1,1,0,10,75.1,2.66,2,0
S0389,18-20,0,1,1,12,92.0,3.43,0,0
S0390,18-20,1,0,0,15,89.5,3.54,4,1
S0391,25+,1,1,1,11,83.5,2.91,3,0
S0392,21-24,0,0,1,14,83.2,3.79,5,1
S0393,18-20,0,1,0,12,81.6,3.75,3,1
S0394,21-24,1,1,0,15,84.0,3.13,2,1
S0395,18-20,0,0,1,14,65.1,2.55,1,0
S0396,18-20,0,0,0,11,60.1,3.87,2,0
S0397,18-20,1,1,0,12,83.5,2.97,3,0
S0398,18-20,0,1,1,16,80.2,3.07,2,0
S0399,21-24,0,1,0,14,94.1,2.81,0,1
S0400,18-20,0,0,0,9,97.7,2.51,0,0
S0401,21-24,0,1,0,15,97.7,2.19,3,0
S0402,21-24,1,1,0,10,72.0,3.35,3,0
S0403,18-20,1,1,1,17,73.5,2.57,3,0
S0404,18-20,0,1,0,16,86.8,4.0,1,0
S0405,18-20,1,0,0,14,100.0,2.4,3,0
S0406,21-24,1,0,0,13,96.8,2.31,3,0
S0407,21-24,0,1,1,12,88.2,3.28,6,1
S0408,21-24,1,1,0,15,78.1,3.84,1,0
S0409,18-20,0,1,1,12,68.2,3.04,2,0
S0410,18-20,1,1,1,14,84.9,3.31,3,0
S0411,18-20,1,0,1,16,66.0,1.99,1,0
S0412,18-20,1,0,1,11,74.6,2.63,2,0
S0413,21-24,0,0,1,11,75.9,2.41,0,0
S0414,18-20,1,0,1,9,92.9,1.96,0,0
S0415,18-20,0,0,0,10,78.5,3.06,2,1
S0416,18-20,0,0,1,8,52.6,1.77,1,0
S0417,18-20,0,1,0,15,87.0,2.27,4,0
S0418,21-24,1,1,0,18,75.0,2.7,2,0
S0419,18-20,0,1,1,17,77.4,2.54,0,0
S0420,25+,1,0,1,8,76.1,3.22,1,0
S0421,21-24,1,1,1,15,74.3,3.17,4,0
S0422,25+,0,0,0,17,89.9,3.49,2,1
S0423,21-24,0,0,0,12,66.7,3.41,3,1
S0424,21-24,0,0,0,13,76.8,3.63,2,1
S0425,21-24,0,1,0,7,88.8,3.0,2,1
S0426,18-20,1,1,0,14,75.9,3.17,1,0
S0427,18-20,0,1,0,10,65.9,3.28,1,0
S0428,21-24,1,0,0,14,88.7,3.08,3,0
S0429,18-20,0,0,1,8,88.2,2.78,2,1
S0430,18-20,1,0,0,15,81.6,2.82,3,0
S0431,25+,1,1,1,16,57.4,2.55,2,0
S0432,18-20,1,1,0,11,89.1,3.23,2,0
S0433,18-20,1,1,0,10,65.4,2.95,2,0
S0434,21-24,1,0,0,7,85.1,2.64,2,1
S0435,18-20,0,0,0,12,73.1,2.64,3,1
S0436,25+,0,1,1,11,65.4,2.33,2,0
S0437,18-20,0,0,0,8,77.6,3.54,3,0
S0438,25+,0,1,0,14,80.2,3.04,1,0
S0439,21-24,1,0,1,12,70.6,2.53,2,0
S0440,18-20,1,1,1,10,82.9,3.44,2,1
S0441,18-20,1,1,0,11,77.5,2.69,0,0
S0442,18-20,0,0,0,16,91.8,2.23,2,1
S0443,18-20,1,1,0,15,84.8,3.56,2,0
S0444,18-20,0,1,0,13,75.0,2.7,1,0
S0445,25+,0,1,0,15,73.3,2.78,1,0
S0446,18-20,1,1,0,10,65.5,3.02,0,1
S0447,21-24,1,0,1,13,79.9,3.63,3,0
S0448,18-20,0,0,0,13,78.5,3.01,3,0
S0449,25+,0,0,0,12,58.3,2.34,1,0
S0450,18-20,0,1,0,14,76.6,3.3,0,0
S0451,18-20,0,0,1,11,68.0,2.73,3,0
S0452,18-20,1,1,0,15,97.8,4.0,2,1
S0453,18-20,1,1,1,15,60.0,3.0,1,0
S0454,21-24,0,1,1,4,62.6,1.77,5,0
S0455,18-20,0,0,0,17,93.1,3.2,1,0
S0456,18-20,0,0,0,4,95.6,4.0,0,1
S0457,18-20,1,0,0,11,74.6,3.87,3,1
S0458,21-24,0,1,0,16,75.7,4.0,2,1
S0459,18-20,1,1,1,12,83.2,2.44,1,0
S0460,18-20,1,0,0,9,58.7,3.5,3,1
S0461,18-20,0,0,1,10,58.4,2.6,1,0
S0462,18-20,0,1,0,16,79.2,3.12,3,1
S0463,18-20,1,1,0,7,97.5,2.3,5,0
S0464,25+,0,1,0,16,77.6,2.65,3,1
S0465,18-20,0,0,1,13,78.0,2.63,2,0
S0466,21-24,1,1,1,9,88.3,3.49,2,1
S0467,18-20,1,0,0,11,100.0,3.44,1,1
S0468,18-20,1,1,0,10,76.2,3.15,4,0
S0469,18-20,0,0,1,16,76.8,2.26,3,1
S0470,18-20,0,1,0,15,100.0,2.83,2,1
S0471,18-20,0,1,1,8,61.8,2.59,3,0
S0472,18-20,0,1,0,12,92.3,3.48,1,1
S0473,18-20,0,1,0,10,71.8,3.65,1,1
S0474,25+,0,0,0,17,83.0,3.58,2,1
S0475,18-20,0,1,0,9,79.6,2.58,1,0
S0476,18-20,0,0,0,18,72.4,1.49,5,1
S0477,18-20,0,1,0,13,72.2,2.03,2,0
S0478,18-20,0,1,1,10,79.8,3.78,3,0
S0479,21-24,1,0,0,11,92.0,2.78,1,1
S0480,18-20,0,1,0,11,80.7,2.59,2,1
S0481,21-24,0,0,0,9,82.7,3.9,1,1
S0482,18-20,0,0,0,13,87.7,3.7,0,1
S0483,18-20,0,0,0,9,72.3,3.01,3,1
S0484,25+,0,1,0,6,89.4,2.84,3,1
S0485,18-20,0,1,0,12,90.2,2.93,0,1
S0486,21-24,0,0,0,8,100.0,3.12,1,1
S0487,18-20,0,1,1,11,73.2,3.88,3,1
S0488,25+,0,1,0,10,77.4,3.23,1,0
S0489,18-20,0,1,1,10,84.7,3.4,3,1
S0490,18-20,0,0,0,19,90.2,3.64,2,1
S0491,21-24,1,0,0,13,76.6,2.36,1,1
S0492,18-20,1,0,1,14,73.0,3.42,2,0
S0493,18-20,1,0,0,8,87.4,2.84,2,0
S0494,25+,0,1,1,11,68.7,1.62,3,0
S0495,18-20,1,0,0,14,77.9,1.83,1,0
S0496,21-24,0,1,0,10,82.9,2.44,7,1
S0497,21-24,0,0,1,16,87.0,3.29,3,1
S0498,21-24,1,1,0,9,76.0,3.06,2,0
